,Mass,Radius,Luminosity,Pressure,Temperature,Density,epsilon,nabla,"radiative=1, convetice=0"
0,2.386091844e+23,8686743.760188114,8.518294313445321e+24,1.893063455498221e+17,16116625.77638494,86.90151166399917,35.699760292974105,0.4,1.0
1,3.978148173892413e+29,1029596518.9599333,1.403569437056134e+31,1.8819479140562586e+17,16078705.27531264,86.59527268822401,35.007826087748455,0.4,1.0
2,7.956293961692983e+29,1298030117.1138678,2.78800932826389e+31,1.8754148784863738e+17,16056354.930585878,86.41494704466159,34.608686644012934,0.4,1.0
3,1.1934439749493552e+30,1486829356.6009533,4.1580613643933705e+31,1.86992225978893e+17,16037528.037211724,86.26314284340876,34.277342680750735,0.4,1.0
4,1.591258553729412e+30,1637950492.612245,5.5158015894652925e+31,1.8649772833502317e+17,16020551.737406524,86.12631121529809,33.98230945791889,0.4,1.0
5,1.989073132509469e+30,1764257853.9087546,6.862360384460441e+31,1.8605280091811027e+17,16005251.19467707,86.00308737120494,33.71941392386174,0.4,1.0
6,2.3868877112895258e+30,1874182146.8896153,8.19876850546267e+31,1.8564578480692874e+17,15991231.085763216,85.89028145900124,33.48100015828166,0.4,1.0
7,2.784702290069583e+30,1973333389.7611997,9.52601481917021e+31,1.852553603789235e+17,15977767.01439912,85.7819707073834,33.2542162748243,0.4,1.0
8,3.18251686884964e+30,2064149699.2959578,1.0844588358409019e+32,1.848753505771769e+17,15964649.681051819,85.67643996895958,33.03528396017814,0.4,1.0
9,3.580331447629697e+30,2147723927.1799498,1.2154707698875035e+32,1.8451120912162675e+17,15952065.195759486,85.5752327662791,32.827105419925445,0.4,1.0
10,3.978146026409754e+30,2225169896.503872,1.3456716721004977e+32,1.8416169061913654e+17,15939971.553132249,85.47801705744136,32.628746792863566,0.4,1.0
11,4.375960605189811e+30,2297458378.8294563,1.4750945830878922e+32,1.8382542048482058e+17,15928322.347198036,85.3844215871995,32.43923802291473,0.4,1.0
12,4.7737751839698675e+30,2365417094.1894693,1.6037711960220304e+32,1.8350089494204394e+17,15917066.771402571,85.29403582242256,32.257572195571704,0.4,1.0
13,5.171589762749924e+30,2429730711.087713,1.7317318566395907e+32,1.8318648102242246e+17,15906149.618609391,85.20640989471633,32.08270491976033,0.4,1.0
14,5.569404341529981e+30,2490940846.499023,1.859005563241588e+32,1.8288041656582282e+17,15895511.281099822,85.12105454186843,31.913553826190977,0.4,1.0
15,5.967218920310038e+30,2549446065.869272,1.985619966693371e+32,1.8258081022036234e+17,15885087.750573002,85.0374410389597,31.748998255710763,0.4,1.0
16,6.365033499090095e+30,2605522765.9630632,2.111600300090014e+32,1.8228597319621446e+17,15874821.896863468,84.95509528928416,31.58805682001296,0.4,1.0
17,6.762848077870152e+30,2659444738.9054265,2.2369604030767724e+32,1.819964955122554e+17,15864733.985725956,84.87418882451624,31.43098550677847,0.4,1.0
18,7.160662656650209e+30,2711371171.5485897,2.3617112445566133e+32,1.817124891088367e+17,15854827.919413747,84.79475847437548,31.27778025585418,0.4,1.0
