                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-25.3.1"                                 "CRMATH"                               "20250429"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      695                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  3.2916595270132291E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  3.2916595270132291E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879597172766108E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1879597172766099E+000                 -5.1879597173196093E+000                 -1.5192285421473549E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641368360929705E+000                  3.3962939792878760E-001                  3.6419418764294886E-001                  3.7888604980648601E+000                  0.0000000000000000E+000                  1.4660345008647178E+001                 -6.9111599004236773E-002                  6.6044496807531230E+000                  6.2123579196101786E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861410E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        4 
                                       5                                      699                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909193361772948E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909193361772948E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879597278807825E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.1879597278807825E+000                 -5.1879597279237819E+000                 -1.5192285751709226E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641629221656138E+000                  3.3973379472461568E-001                  3.6419421389557766E-001                  3.7888604455596022E+000                  0.0000000000000000E+000                  1.4660345013830069E+001                 -6.9111595884485233E-002                  6.6044496828021746E+000                  6.2123579195973400E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861410E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        2 
                                      10                                      699                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909194871634167E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909194871634167E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879597565197804E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -5.1879597565197804E+000                 -5.1879597565627797E+000                 -1.5192286590290895E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641615564447174E+000                  3.3972832024722310E-001                  3.6419420809867359E-001                  3.7888604571534108E+000                  0.0000000000000000E+000                  1.4660345027434884E+001                 -6.9111587694079324E-002                  6.6044496881796340E+000                  6.2123579195636491E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861410E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        2 
                                      15                                      699                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909204789375420E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909204789375420E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879597999727034E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1879597999727034E+000                 -5.1879598000157019E+000                 -1.5192287677957292E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641612309200227E+000                  3.3972701400853478E-001                  3.6419420602871916E-001                  3.7888604612933192E+000                  0.0000000000000000E+000                  1.4660345046827498E+001                 -6.9111576004246056E-002                  6.6044496958299721E+000                  6.2123579195157363E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861410E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        2 
                                      20                                      699                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909245537453613E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909245537453613E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879598653054000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1879598653054000E+000                 -5.1879598653483985E+000                 -1.5192288957002555E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641611526510629E+000                  3.3972669985369941E-001                  3.6419420548922044E-001                  3.7888604623723170E+000                  0.0000000000000000E+000                  1.4660345073884132E+001                 -6.9111559656034674E-002                  6.6044497064658350E+000                  6.2123579194491807E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861410E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        2 
                                      25                                      699                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909412677919057E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8909412677919057E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879599595090049E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1879599595090049E+000                 -5.1879599595520034E+000                 -1.5192290228168110E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641611379544701E+000                  3.3972664134782110E-001                  3.6419420562946758E-001                  3.7888604620918227E+000                  0.0000000000000000E+000                  1.4660345110383460E+001                 -6.9111537502418663E-002                  6.6044497207152411E+000                  6.2123579193601519E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861410E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        2 
                                      30                                      699                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8910115869557211E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8910115869557211E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879600806364214E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1879600806364214E+000                 -5.1879600806794199E+000                 -1.5192291181901394E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641611352336647E+000                  3.3972663131764613E-001                  3.6419420605599034E-001                  3.7888604612387771E+000                  0.0000000000000000E+000                  1.4660345157183256E+001                 -6.9111508833650886E-002                  6.6044497387269114E+000                  6.2123579192479905E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861410E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        2 
                                      35                                      699                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8913199428100916E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8913199428100916E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879602014163684E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1879602014163684E+000                 -5.1879602014593669E+000                 -1.5192291610627596E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641611341154170E+000                  3.3972662779976570E-001                  3.6419420653354700E-001                  3.7888604602836637E+000                  0.0000000000000000E+000                  1.4660345214237131E+001                 -6.9111473194215511E-002                  6.6044497600066716E+000                  6.2123579191164657E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4468833607861405E-003                  9.3805276451495393E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000019E-001                  3.3596424283769866E-001                                        0                                        2 
                                      40                                      699                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8927446712303261E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999895149994E-001                  2.8927446712303261E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.1879602616220879E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1879602616220888E+000                 -5.1879602616650864E+000                 -1.5192291526359350E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6641611327207526E+000                  3.3972662236421752E-001                  3.6419420660510154E-001                  3.7888604601405547E+000                  0.0000000000000000E+000                  1.4660345282904705E+001                 -6.9111428564189920E-002                  6.6044497839093914E+000                  6.2123579189712963E-001                  8.5000496627254196E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861397E-003                  9.3805276451495428E-003                  3.4468833607861440E-003                  9.3805276451495393E-003                  8.4000000000000041E-001                  3.3596424283769866E-001                                        0                                        2 
